Storm#,FlowStart,FlowEnd
1,6/20/19 11:46,6/21/19 3:34
2,6/25/19 11:12,6/26/19 6:01
3,6/29/19 21:53,6/30/19 6:27
4,7/11/19 22:32,7/12/19 1:25
5,7/28/19 15:02,7/28/19 23:01
6,8/8/19 1:10,8/8/19 11:20
7,8/17/19 6:26,8/18/19 3:48
8,8/21/19 11:58,8/22/19 9:43
9,8/28/19 19:28,8/29/19 9:39
10,9/2/19 0:49,9/3/19 8:41
11,9/23/19 19:08,9/25/19 2:30
12,9/26/19 11:50,9/27/19 4:49
13,10/1/19 20:51,10/2/19 11:41
15,10/7/19 3:50,10/8/19 9:46
16,10/16/19 21:44,10/18/19 12:41
17,10/27/19 8:36,10/28/19 9:46