Year,StormEventNumber,StartDate,StartDateTime,EndDateTime,EventPrecip_in,EventPrecip_mm,PrecipTime_min,PrecipIntensity_in_min,PriorPrecip3days,S1_FlowStart,S1_FlowEnd,Notes,S3_FlowStart,S3_FlowEnd,Notes,S4_FlowStart,S4_FlowEnd,CN_RunoffVol_L,Flow_rate_peaks_high,S1_ISCO_Volume_Reading,Tank1_L,Rainfall_on_full_bioreactor_L,Inflow_with_rainfall_L,Inflow_eachWCB_L,WCB1_L,WCB2_L,TotalOutflow,Tank_bypass_ISCOvolume,O:I_ISCO_volume,TankBypass,O:I_with_rainfall,I:O ratio,O:I_no_rain_on_bed,S1_TN_mg_L,S1_NH3_mg_N_L,S1_NO2_NO3_mg_N_L,S1_TP_mg_P_L,S1_SRP_mg_P_L,S1_2_TN_mg_L,S1_2_NH3_mg_N_L,S1_2_NO2_NO3_mg_N_L,S1_2_TP_mg_P_L,S1_2_SRP_mg_P_L,S1_Load_TN_g,S1_Load_NH3_g,S1_Load_NO2_NO3_g,S1_Load_TP_g,S1_Load_SRP_g,Inflow_load_each_bed_TN_g,Inflow_load_each_bed_NH3_g,Inflow_load_each_bed_NO2_NO3_g,Inflow_load_each_bed_TP_g,Inflow_load_each_bed_SRP_g,Outflow_volume_inflow_load_TN_g,Outflow_volume_inflow_load_NH3_g,Outflow_volume_inflow_load_NO2_NO3_g,Outflow_volume_inflow_load_TP_g,Outflow_volume_inflow_load_SRP_g,S2_TN_mg_L,S2_NH3_mg_N_L,S2_NO2_NO3_mg_N_L,S2_TP_mg_P_L,S2_SRP_mg_P_L,S2_2_TN_mg_L,S2_2_NH3_mg_N_L,S2_2_NO2_NO3_mg_N_L,S2_2_TP_mg_P_L,S2_2_SRP_mg_P_L,S2_Load_TN_g,S2_Load_NH3_g,S2_Load_NO2_NO3_g,S2_Load_TP_g,S2_Load_SRP_g,S3_TN_mg_L,S3_NH3_mg_N_L,S3_NO2_NO3_mg_N_L,S3_TP_mg_P_L,S3_SRP_mg_P_L,S3_Load_TN_g,S3_Load_NH3_g,S3_Load_NO2_NO3_g,S3_Load_TP_g,S3_Load_SRP_g,S4_TN_mg_L,S4_NH3_mg_N_L,S4_NO2_NO3_mg_N_L,S4_TP_mg_P_L,S4_SRP_mg_P_L,S4_Load_TN_g,S4_Load_NH3_g,S4_Load_NO2_NO3_g,S4_Load_TP_g,S4_Load_SRP_g,Combined_Outflow_Load_TN_g,Combined_Outflow_Load_NH3_g,Combined_Outflow_Load_NO2_NO3_g,Combined_Outflow_Load_TP_g,Combined_Outflow_Load_SRP_g,S1_vs_Tanks_MassRemoval_TN_g,S1_vs_Tanks_MassRemoval_NH3_g,S1_vs_Tanks_Load_NO2_NO3_g,S1_vs_Tanks_MassRemoval_TP_g,S1_vs_Tanks_MassRemoval_SRP_g,OutflowVolumeInflowLoad_vs_CombinedOutflow_MassRemoval_TN_g,OutflowVolumeInflowLoad_vs_CombinedOutflow_MassRemoval_NH3_g,OutflowVolumeInflowLoad_vs_CombinedOutflow_MassRemoval_NO2_NO3_g,OutflowVolumeInflowLoad_vs_CombinedOutflow_MassRemoval_TP_g,OutflowVolumeInflowLoad_vs_CombinedOutflow_MassRemoval_SRP_g,Whole_system_RE_%_TN,Whole_system_RE_%_NH3,Whole_system_RE_%_NO2_NO3,Whole_system_RE_%_TP,Whole_system_RE_%_SRP,S2_vs_S3_MassRemoval_TN_g,S2_vs_S3_MassRemoval_NH3_g,S2_vs_S3_MassRemoval_NO2_NO3_g,S2_vs_S3_MassRemoval_TP_g,S2_vs_S3_MassRemoval_SRP_g,S2_vs_S4_MassRemoval_TN_g,S2_vs_S4_MassRemoval_NH3_g,S2_vs_S4_MassRemoval_NO2_NO3_g,S2_vs_S4_MassRemoval_TP_g,S2_vs_S4_MassRemoval_SRP_g,S2_vs_Outflow_MassRemoval_TN_g,S2_vs_Outflow_MassRemoval_NH3_g,S2_vs_Outflow_MassRemoval_NO2_NO3_g,S2_vs_Outflow_MassRemoval_TP_g,S2_vs_Outflow_MassRemoval_SRP_g
2019,1,20-Jun,6/20/19 10:05,6/20/19 16:15,1.18,29.972,,,0,samples taken but no flow?,,,6/20/19 11:46,6/21/19 3:34,,6/20/19 13:27,6/20/19 23:48,67891,,-,NA,6446.93,#VALUE!,#VALUE!,61310,97182,158492,NA,NA,NA,#VALUE!,#VALUE!,NA,64.74,13.75,0.0708,26.7,18,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260.77,2179.27,11.22,4231.74,2852.86,63.54,33.75,0.025,NA,NA,,,,,,NA,NA,NA,NA,NA,52.34,35.3,0.025,19.3,17.34,3208.97,2164.24,1.53,1183.28,1063.12,82.94,66,0.025,24.7,21.6,8060.28,6414.01,2.43,2400.4,2099.13,11269.24,8578.26,3.96,3583.68,3162.25,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1008.47,-6398.99,7.26,648.06,-309.39,-9.83,-293.63,64.69,15.31,-10.84,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2019,2,25-Jun,6/25/19 10:23,6/25/19 12:41,0.31,7.874,,,0,6/25/19 10:44,6/25/19 14:31,,6/25/19 11:12,6/26/19 6:01,,6/25/19 11:13,6/26/19 4:46,10759,,-,17422,1693.685,19115.685,9557.8425,14488,3840,18328,#VALUE!,#VALUE!,-787.685,0.958793786,1.042977139,1.052003214,121.54,24,0.12,33.1,21.2,,,,,,2117.47,418.13,2.09,576.67,369.35,1058.73,209.06,1.05,288.33,184.67,2227.59,439.87,2.2,606.66,388.55,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,47.14,38.2,0.025,19.5,18.16,682.96,553.44,0.36,282.52,263.1,92.34,75.5,0.025,27.3,20.6,354.59,289.92,0.1,104.83,79.1,1037.55,843.36,0.46,387.35,342.21,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1190.04,-403.49,1.74,219.31,46.35,53.42,-91.73,79.17,36.15,11.93,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2019,3,29-Jun,6/29/19 21:11,6/29/19 23:09,0.3,7.62,,,0.24,6/29/19 21:30,6/30/19 5:24,,6/29/19 21:53,6/30/19 6:27,,6/29/19 21:55,6/30/19 4:46,10190,yes,31006,66102,1639.05,67741.05,33870.525,4945,2709,7654,-24991.05,0.246855447,-60087.05,0.112989096,8.85041155,0.115790748,68.34,18.7,0.0598,20.2,15.28,,,,,,4517.41,1236.11,3.95,1335.26,1010.04,2258.71,618.05,1.98,667.63,505.02,523.07,143.13,0.46,154.61,116.95,59.94,35.1,0.025,18.5,15.04,,,,,,3962.15388,2320.1802,1.65255,1222.887,994.17408,44.54,39.55,0.025,18.1,13.86,220.25,195.57,0.12,89.5,68.54,75.34,74,0.025,22.7,11.3,204.1,200.47,0.07,61.49,30.61,424.35,396.04,0.19,151,99.15,555.26,-1084.07,2.3,22.87,-52.67,98.73,-252.91,0.27,3.61,17.8,18.87,-176.7,58.19,2.34,15.22,1760.83,964.52,0.7,521.94,428.55,1776.98,959.62,0.76,549.95,466.48,3537.81,1924.14,1.46,1071.89,895.02
2019,4,11-Jul,7/11/19 21:52,7/12/19 3:46,0.81,20.574,,,0,7/11/19 21:57,7/12/19 7:41,,7/11/19 22:32,7/12/19 1:25,,7/11/19 22:25,7/12/19 7:48,42719,yes,44020,62604,4425.435,67029.435,33514.7175,4910,9315,14225,-34220.435,0.323148569,-52804.435,0.212220198,4.712086819,0.227221903,90.94,25,0.707,34.9,28.6,,,,,,5693.21,1565.1,44.26,2184.88,1790.47,2846.6,782.55,22.13,1092.44,895.24,1293.62,355.63,10.06,496.45,406.84,71.54,37.95,3.02,23.2,14.4,,,,,,4478.69016,2375.8218,189.06408,1452.4128,901.4976,38.34,24.2,0.133,16.6,10.7,188.25,118.82,0.65,81.51,52.54,73.74,58.5,0.06,23,18.56,686.89,544.93,0.56,214.25,172.89,875.14,663.75,1.21,295.75,225.42,1214.52,-810.72,-144.8,650.96,836.44,418.48,-308.12,8.85,200.7,181.41,32.35,-86.64,87.95,40.43,44.59,2051.1,1069.09,93.88,644.7,398.21,1552.46,642.98,93.97,511.96,277.86,3603.55,1712.07,187.85,1156.66,676.07
2019,5,28-Jul,7/28/19 14:18,7/28/19 20:15,0.21,5.334,,,0,7/28/19 14:18,7/28/19 22:44,,7/28/19 15:02,7/28/19 23:01,"battery died, missing an hour of readings at 17:00",7/28/19 14:51,7/29/19 2:16,5389,,4239,4238,1147.335,5385.335,2692.6675,1570,1412,2982,-2404.335,0.703467799,-2403.335,0.553725998,1.805947351,0.70363379,49.54,4.775,0.109,18.7,7,,,,,,209.95,20.24,0.46,79.25,29.67,104.98,10.12,0.23,39.63,14.83,147.73,14.24,0.33,55.76,20.87,61.74,40.7,4.88,23.6,17.6,,,,,,261.65412,172.4866,20.68144,100.0168,74.5888,24.14,12.6,0.0597,14,10.65,37.9,19.78,0.09,21.98,16.72,62.94,1.875,0.052,21.6,18.2,88.87,2.65,0.07,30.5,25.7,126.77,22.43,0.17,52.48,42.42,-51.7,-152.25,-20.22,-42.75,-61.64,20.96,-8.19,0.16,3.28,-21.54,14.19,-57.52,48.57,5.89,-103.21,92.93,66.46,10.25,28.03,20.57,41.96,83.6,10.27,19.51,11.6,134.88,150.06,20.51,47.54,32.17
2019,6,7-Aug,8/7/19 19:56,8/8/19 7:24,0.29,7.366,,,0.04,8/7/19 22:54,8/8/19 11:03,,8/8/19 1:10,8/8/19 11:20,,8/8/19 1:04,8/8/19 11:26,9627,,7836,7361,1584.415,8945.415,4472.7075,2650,1753,4403,-5017.415,0.561893823,-4542.415,0.49220746,2.031663638,0.598152425,53.14,10.4,0.0912,NA,12.6,,,,,,391.16,76.55,0.67,NA,92.75,195.58,38.28,0.34,NA,46.37,233.98,45.79,0.4,NA,55.48,55.14,37.75,7.7,NA,19.4,,,,,,405.88554,277.87775,56.6797,NA,142.8034,21.14,15.35,0.025,NA,10.2,56.02,40.68,0.07,NA,27.03,52.74,47.25,0.0894,NA,16.2,92.45,82.83,0.16,NA,28.4,148.47,123.51,0.22,NA,55.43,-14.72,-201.32,-56.01,#VALUE!,-77.08,85.5,-77.72,0.18,#VALUE!,0.05,36.54,-169.72,44.47,#VALUE!,0.09,146.92,98.26,28.27,#VALUE!,44.37,110.49,56.11,28.18,#VALUE!,43,257.41,154.37,56.46,#VALUE!,87.37
2019,7,17-Aug,8/17/19 5:57,8/17/19 19:16,0.28,7.112,,,0.02,8/17/19 5:56,8/17/19 21:28,"this storm was in AM and again PM, flow rate up to 8 L/s",8/17/19 6:26,8/18/19 3:48,flow occurred all day,8/17/19 6:33,8/17/19 22:16,9070,,-,6167,1529.78,7696.78,3848.39,5859,883,6742,#VALUE!,#VALUE!,-954.78,0.875950722,1.141616731,1.093238203,39.14,6,0.0587,13.7,8.8,,,,,,241.38,37,0.36,84.49,54.27,120.69,18.5,0.18,42.24,27.13,263.88,40.45,0.4,92.37,59.33,42.34,25.95,7.34,15.7,10.95,,,,,,261.11078,160.03365,45.26578,96.8219,67.52865,16.74,9.15,0.025,9.83,7.8,98.08,53.61,0.15,57.59,45.7,50.14,42.7,0.0632,NA,6.75,44.27,37.7,0.06,NA,5.96,142.35,91.31,0.2,NA,51.66,-19.73,-123.03,-44.9,-69.93,-58.96,121.53,-50.86,0.19,#VALUE!,7.67,46.05,-125.73,48.89,#VALUE!,12.93,32.48,26.41,22.49,-9.18,-11.94,86.28,42.31,22.58,#VALUE!,27.8,118.76,68.72,45.06,#VALUE!,15.87
2019,8,21-Aug,8/21/19 11:24,8/21/19 16:31,0.78,19.812,,,0.03,8/21/19 11:33,8/21/19 23:19,,8/21/19 11:58,8/22/19 9:43,,8/21/19 11:57,8/22/19 6:55,40706,yes,21299,29577,4261.53,33838.53,16919.265,21699,12642,34341,8780.47,1.612329217,502.47,1.014849049,0.985368219,1.161071103,35.54,5.54,0.025,11.2,8.7,41.54,3.47,0.0373,13.1,11320,1051.17,163.86,0.74,331.26,257.32,525.58,81.93,0.37,165.63,128.66,1220.48,190.25,0.86,384.62,298.77,38.94,17.1,0.025,15.9,14.14,134.14,13.9,-0.00344,12.5,10.9,1151.72838,505.7667,0.739425,470.2743,418.21878,15.54,4.21,0.025,10.9,9.48,337.2,91.35,0.54,236.52,205.71,38.54,29.3,0.025,13.6,12.56,487.22,370.41,0.32,171.93,158.78,824.43,461.76,0.86,408.45,364.49,-100.56,-341.91,0,-375.53,-366.61,396.05,-271.51,0,-23.83,-65.72,32.45,-142.72,0,-6.2,-22,238.66,161.53,-0.17,-1.38,3.4,88.64,-117.53,0.05,63.21,50.33,327.3,44,-0.12,61.82,53.73
2019,9,28-Aug,8/28/19 18:23,8/28/19 23:31,0.3,7.62,,,0,8/28/19 18:37,8/29/19 1:18,sick this day,8/28/19 19:28,8/29/19 9:39,,8/28/19 19:34,8/29/19 4:15,10190,,8559,8558,1639.05,10197.05,5098.525,7079,1418,8497,-1701.05,0.992756163,-1700.05,0.833280213,1.200076498,0.992872166,50.14,9.39,0.025,12.9,12.16,,,,,,429.1,80.36,0.21,110.4,104.07,214.55,40.18,0.11,55.2,52.03,426.04,79.79,0.21,109.61,103.32,31.94,14.7,0.025,14.2,10.7,,,,,,273.34252,125.8026,0.21395,121.5236,91.5706,15.14,3.4,0.025,13.4,9.62,107.18,24.07,0.18,94.86,68.1,40.94,29.9,0.025,14.4,7.24,58.05,42.4,0.04,20.42,10.27,165.23,66.47,0.21,115.28,78.37,155.76,-45.44,0,-105.98,-55.61,260.81,13.32,0,-5.67,24.96,61.22,16.69,0,-5.17,24.15,29.5,38.83,-0.07,-34.1,-22.31,78.62,20.5,0.07,40.34,35.52,108.11,59.34,0,6.25,13.2
2019,10,2-Sep,9/1/19 23:51,9/2/19 17:13,1.18,29.972,,,0.01,9/2/19 0:04,9/3/19 8:26,< maybe not correct end time? Sick this day. Check rain end too,9/2/19 0:49,9/3/19 8:41,,9/2/19 0:51,9/3/19 8:44,67891,,20248,20440,6446.93,26886.93,13443.465,41083,12752,53835,27140.07,2.658781114,26948.07,2.002273967,0.499432154,2.633806262,37.74,7.19,0.025,12.3,11.36,114.34,5.88,-0.00494,32,16720,771.41,146.96,0.51,251.41,232.2,385.7,73.48,0.26,125.71,116.1,2031.73,387.07,1.35,662.17,611.57,35.74,16.3,0.025,13.2,11.86,33.54,9.25,0.0118,16.4,,730.5256,333.172,0.511,269.808,242.4184,15.21,3.41,0.025,10.53333333,10.33,624.74,140.23,1.03,432.74,424.39,28.54,19.7,0.025,12,11.8,363.94,251.21,0.32,153.02,150.47,988.68,391.44,1.35,585.76,574.86,40.88,-186.21,0,-451.14,-434.61,1043.06,-4.37,0,76.41,36.7,51.34,-1.13,0,11.54,6,-259.47,26.36,-0.77,-297.84,-303.18,1.32,-84.63,-0.06,-18.12,-29.26,-258.15,-58.27,-0.83,-315.96,-332.44
2019,11,23-Sep,9/23/19 18:14,9/24/19 12:28,1.03,26.162,,,0,9/23/19 18:31,9/24/19 19:53,,9/23/19 19:08,9/25/19 2:30,likely not the end need to check,9/23/19 19:05,9/25/19 1:50,57624,,14881,14952,5627.405,20579.405,10289.7025,29847,17083,46930,26421.595,3.153685908,26350.595,2.280435222,0.438512785,3.13871054,66.94,12.6,0.025,20.2,17.28,,,,,,1000.89,188.4,0.37,302.03,258.37,500.44,94.2,0.19,151.02,129.19,3141.49,591.32,1.17,947.99,810.95,45.94,22.7,0.025,18.2,15.36,,,,,,686.89488,339.4104,0.3738,272.1264,229.66272,19.34,3.13,0.0587,9.72,8.58,577.24,93.42,1.75,290.11,256.09,25.94,11.5,0.0742,11,10.92,443.13,196.45,1.27,187.91,186.55,1020.37,289.88,3.02,478.03,442.63,313.99,-151.02,0,-260.21,-227.38,2121.12,301.44,-1.85,469.96,368.32,67.52,50.98,-157.37,49.57,45.42,-233.79,76.28,-1.57,-154.05,-141.26,-99.69,-26.75,-1.08,-51.85,-71.72,-333.48,49.53,-2.65,-205.9,-212.97
2019,12,26-Sep,9/26/19 11:30,9/26/19 16:21,0.37,9.398,,,1.03,9/26/19 11:29,9/27/19 2:36,Battery failed on this one,9/26/19 11:50,9/27/19 4:49,,9/26/19 11:48,9/27/19 3:28,14280,,-,12987,2021.495,15008.495,7504.2475,14086,7428,21514,#VALUE!,#VALUE!,6505.505,1.433454853,0.697615274,1.656579657,39.54,5.95,1.11,10.3,9.86,82.54,16.3,0.0308,23.4,20200,513.51,77.27,14.42,133.77,128.05,256.75,38.64,7.21,66.88,64.03,850.66,128.01,23.88,221.59,212.13,38.54,17.2,0.025,16.3,12.6,43.54,12.3,0.0249,16.1,12.48,500.51898,223.3764,0.324675,211.6881,163.6362,13.74,2.75,0.025,11.3,8.98,193.54,38.74,0.35,159.17,126.49,21.14,11.1,0.025,11.7,10.4,157.03,82.45,0.19,86.91,77.25,350.57,121.19,0.54,246.08,203.74,12.99,-146.1,14.09,-237.09,-162.08,500.09,6.82,23.34,-24.49,8.38,58.79,5.33,97.75,-11.05,3.95,56.72,72.95,-0.19,-53.33,-44.67,93.23,29.24,-0.02,18.94,4.57,149.95,102.19,-0.21,-34.39,-40.11
2019,13,1-Oct,10/1/19 20:33,10/2/19 1:06,0.66,16.764,might be 0.68?,,0.08,10/1/19 20:36,10/2/19 11:36,gets up to 10 L/s twice,10/1/19 20:51,10/2/19 11:41,,10/1/19 20:41,10/2/19 11:32,32726,yes,37960,72132,3605.91,75737.91,37868.955,21241,17369,38610,-2955.91,1.017123288,-37127.91,0.509784334,1.961613831,0.535268674,33.94,5.17,0.025,10.5,9.7,,,,,,2448.16,372.92,1.8,757.39,699.68,1224.08,186.46,0.9,378.69,349.84,1310.42,199.61,0.97,405.41,374.52,45.74,11.4,0.025,12.4,11.58,,,,,,3299.31768,822.3048,1.8033,894.4368,835.28856,13.94,5.14,0.025,9.99,7.86,296.1,109.18,0.53,212.2,166.95,21.34,12.3,0.025,11.7,11.36,370.65,213.64,0.43,203.22,197.31,666.75,322.82,0.97,415.41,364.27,-851.16,-449.38,0,-349.25,-302.56,643.67,-123.2,0,-10.01,10.25,49.12,-61.72,0,-2.47,2.74,1353.56,301.97,0.37,235.02,250.69,1279,197.51,0.47,244,220.33,2632.56,499.49,0.84,479.02,471.02
2019,14,7-Oct,10/7/19 3:01,10/7/19 15:30,1.19,30.226,,,0.04,10/7/19 3:15,10/8/19 9:30,check this end time. Gets up to 8 L/s,10/7/19 3:50,10/8/19 9:46,check this end time,10/7/19 3:43,10/8/19 9:53,68578,yes,120089,224059,6501.565,230560.565,115280.2825,41523,30585,72108,-54482.565,0.600454663,-158452.565,0.312750795,3.197433919,0.321825948,18.805,3.695,0.1275,28.5,16.3,,,,,,4213.43,827.9,28.57,6385.68,3652.16,2106.71,413.95,14.28,3192.84,1826.08,1355.99,266.44,9.19,2055.08,1175.36,27.12,4.74,0.025,16.3,15.64,,,,,,6076.48008,1062.03966,5.601475,3652.1617,3504.28276,16.47,2.78,0.025,12.9,9.7,683.88,115.43,1.04,535.65,402.77,20.65,8.95,0.025,12.6,9.9,631.58,273.74,0.76,385.37,302.79,1315.46,389.17,1.8,921.02,705.56,-1863.05,-234.14,22.97,2197.87,-254.89,40.53,-122.73,7.39,1134.06,469.8,2.99,-46.06,80.39,55.18,39.97,2354.36,415.59,1.76,1290.43,1349.37,2406.66,257.28,2.04,1440.71,1449.35,4761.02,672.87,3.8,2731.14,2798.72
2019,15,16-Oct,10/16/19 19:51,10/17/19 22:34,2.07,52.578,,,0.06,10/16/19 20:47,10/18/19 9:14,check this end time,10/16/19 21:44,10/18/19 12:41,battery died during program,10/16/19 21:44,10/18/19 12:52,129566,yes,~200000,355332,11309.445,366641.445,183320.7225,105200,87648,192848,#VALUE!,#VALUE!,-173793.445,0.525985272,1.90119392,0.542726239,158.36,4.9,0.0557,18.1,17.14,,,,,,56270.38,1741.13,19.79,6431.51,6090.39,28135.19,870.56,9.9,3215.75,3045.2,30539.41,944.96,10.74,3490.55,3305.41,28.772,6.57,0.025,NA,16.64,,,,,,10223.6123,2334.53124,8.8833,NA,5912.72448,12.1488,3.26,0.025,11.1,10.4,32.35,342.95,2.63,1167.72,1094.08,17.7088,7.42,0.025,12,11.26,1552.14,650.35,2.19,1051.78,986.92,1584.49,993.3,4.82,2219.5,2081,46046.76,-593.4,10.91,#VALUE!,-916.41,28954.92,-48.34,5.92,1271.05,1224.42,94.81,-5.12,55.12,36.41,37.04,5079.46,824.31,1.81,#VALUE!,1862.28,3559.67,516.92,2.25,#VALUE!,1969.45,8639.12,1341.23,4.06,#VALUE!,3831.73
2019,16,27-Oct,10/27/19 6:43,10/28/19 6:29,0.87,22.098,,,0.04,10/27/19 9:00,10/27/19 15:44,,10/27/19 8:36,10/28/19 9:46,,10/27/19 9:20,10/28/19 10:36,46760,yes,40873,51816,4753.245,56569.245,28284.6225,27564,16625,44189,-1437.245,1.081129352,-12380.245,0.781148838,1.280165765,0.852806083,32.372,3.74,0.0927,13.7,13.08,,,,,,1677.39,193.79,4.8,709.88,677.75,838.69,96.9,2.4,354.94,338.88,1430.49,165.27,4.1,605.39,577.99,50.972,16.2,0.025,24.7,21.4,,,,,,2641.165152,839.4192,1.2954,1279.8552,1108.8624,15.3088,5.14,0.025,12.1,12.08,421.97,141.68,0.69,333.52,332.97,19.1144,8.79,0.025,12.5,13.44,317.78,146.13,0.42,207.81,223.44,739.75,287.81,1.1,541.34,556.41,-963.78,-645.63,3.51,-903.5,-764.08,690.74,-122.55,2.99,64.05,21.58,48.29,-74.15,73.03,10.58,3.73,898.61,278.03,-0.04,306.4,221.46,1002.81,273.58,0.23,432.12,330.99,1901.42,551.61,0.19,738.52,552.45